product_id,lowest_level
862,Kipfilet - blokjes
939,Komkommer (vers)
741,IJsbergsla gesneden
235,Brood en crackers (koolhydraatarm)
1886,Verse roma tomaten
1631,Sojascheuten
882,Kipsate (diepvries)
960,Kroepoek
744,IJskoffie
1797,Trostomaat
641,Groene salade
1516,Satésaus
1803,Tuinerwten (diepvries)
1633,Spaans maaltijdpakket
199,Bolletjes (dagvers)
1982,Wasverzachters - geconcentreerd
438,Droog kattenvoer
1553,Sellerie salade
507,Frisse fruitdrank (flessen)
1884,Verse pasta
1066,Magere yoghurt
1493,Rozijnen (diverse)
1913,Vissalades (beleg)
1291,Pate (versafdeling)
1528,Scharreleieren
976,Kuipje filet americain (versafdeling)
1409,Pudding - groot
1788,Tortilla chips (naturel)
1074,Maiskorrels (conserven)
1498,Rundergehakt
403,Dipsaus in pot
573,Geraspte kaas
1458,Rode paprika
866,Kipkruiden
367,Creme fraiche
40,Afbakbroodjes wit
370,Croissantdeeg
954,Krentenbollen
675,Hagelslag
520,Fruitvla - enkel
1847,Vanille vla
299,Cherry tomaten (vers)
359,Courgette (vers)
375,Dadels (diverse)
620,Grana Padano
541,Gehakt (kip)
1584,Skyr - Ijslandse yoghurt
945,Kookroom
234,Broccoli (vers)
1299,Penne
1970,Vruchtenyoghurt (groot)
1928,Vleesbouillon (blokjes)
1922,Vlaai
1218,Olijfolie mild
735,Hummus met smaakje
1614,Snoeptomaatjes
893,Knoflook (vers)
1806,Tuinkruiden bouillon
1447,Rijstwafels
643,Groene thee
39,Afbakbroodjes mix
938,Komkommer (snoepgroente)
1032,Luchtverfrissers - spuitbussen
232,Brioche
195,Boerenkool (diepvries)
1766,Toiletreiniger
785,Jus stamppot
1275,Paprika (snoepgroente)
1436,Reepjes spek (voorverpakt)
1109,Melk (drinkpakjes)
1666,Stamppot aardappelen
1760,Toiletblokken - vast
1474,Rookworst
408,Diverse witte wijn
213,Borrelnoten (groot)
262,Cakes
436,Droge worst - snacks
2015,Witte chocolade met biscuit
2092,Zuivel tussendoortjes
2030,Wokolie
759,Indonesische mix
760,Indonesische sojasaus
864,Kipfilet - stuk
526,Garnalen (vers)
2029,Wokgroente (vers)
303,Chinese chilisaus
1054,Maaltijdrepen
2068,Zilvervlies rijst
1172,Multipack (mint)
1881,Verse mandarijnen
2048,Yoghurtdranken (drinkpakjes)
975,Krulsla
709,Health yoghurt
1874,Verse broodjes
509,Fritessaus
128,Bananen
1204,Noodlesoep
1076,Maiswafels
856,Kipburger (vers)
1285,Pasta (tussendoor)
1787,Tortilla chips (met smaakje)
624,Granenbiscuits
1378,Plantaardige yoghurt naturel
2006,Winterpeen
635,Griekse yoghurt naturel
1862,Veldsla
383,Deoroller vrouwen
885,Kiwi
101,Aubergine (vers)
1726,Tandpasta frisse adem
1278,Paprika mix (vers)
382,Deoroller mannen
186,Blokjes spek (voorverpakt)
540,Gehakt (half-om-half)
1654,Spinazie (diepvries)
27,Aardbeien (vers)
1494,Rozijnen brood
1607,Snelfilterkoffie (regular)
500,Friet
2028,Wokgroente
32,Abrikozenjam
174,Blauwe bessen (vers)
1876,Verse geitenkaas
137,Basmatirijst
1890,Verse snijbonen (heel)
2011,Witte asperges
147,Beschuit
1765,Toiletpapier - vochtig
663,Groentespread
1301,Peper mix
15,Aardappelpartjes (vers)
1728,Tandpasta gevoelige tanden
1166,Muesli- en granenrepen
861,Kipfilet (voorverpakt)
863,Kipfilet - reepjes
1020,Limonade siroop
628,Granola (noten)
889,Knackebrod
1956,Volle melk (houdbaar)
1777,Tonic
37,Afbakbroodjes bruin
983,Kwark met smaak (portieverpakking)
1472,Rookvlees (versafdeling)
1816,Uitdeelzakjes
1888,Verse slagroom
1644,Spekken
1326,Pinda's (zakje)
1612,Snoepmix
913,Koffiekoekjes
1795,Tripel bier
103,Avocado
576,Gerookte kip - stuk
1621,Soeppakketten (vers)
1604,Snelfilterkoffie (krachtig)
1044,Luxe chocolade
267,Cappuccino melk
1878,Verse koeken
402,Dipsaus (vers)
557,Gele uien
176,Bleekmiddel
1313,Peterselie (vers)
282,Champignons (vers)
1063,Magere kwark
1496,Rucola
1344,Pitabroodjes
1470,Rooibosthee
951,Koriander kruiden
1445,Rijst noodles
1497,Runderbiefstuk (vers)
1952,Volkoren brood (dagvers)
1891,Verse soepen
102,Augurken
737,Huttenkase
1691,Stuk ossenworst (versafdeling)
1598,Smeerkaas
1481,Roomkaas light
807,Kappertjes
38,Afbakbroodjes meergranen
0,(Zelfrijzend) bakmeel
1753,Tijm (vers)
957,Krieltjes - geschild
1583,Sjalotten
1736,Taugé
1931,Vleeskruiden
2062,Zelfbakbrood
1484,Rosbief
331,Citroensap
1798,Trostomaat - seizoensgroente
713,Hele prei (vers)
1459,Rode uien
