Healthy & Conscious;0;Convenience;1;Traditional;2
Komkommer (vers);0.0252715703918716;Verse broodjes;0.0715075868895742;Halfvolle melk (vers);0.0242848425555431
Bananen;0.0180052565685556;Zelfbakbrood;0.0553275736426259;Bolletjes (dagvers);0.0171641842315074
Avocado;0.0130644993365122;Verse koeken;0.0318096859072657;Bananen;0.0152540415256633
Kipfilet - stuk;0.0130644993365122;Energy drinks;0.0302687322646992;Donuts;0.0123162896688634
Courgette (vers);0.0129968076301054;Pilsener - blik;0.0281040592906176;Yoghurtdranken (pakken);0.0101624075328142
Geraspte kaas;0.012906552021563;Chips met een vormpje;0.0150078347108069;Scharreleieren;0.0098574335084845
Griekse yoghurt naturel;0.0106050340037318;Diverse smaken chips;0.0147124383492659;Alledaagse koeken;0.0092029509449377
Rode paprika;0.0104470866887826;Volle melk (houdbaar);0.0142721658799612;Bruin brood (dagvers);0.0088113360111106
Champignons (vers);0.0102965699726677;Ice tea koolzuurvrij (pakken);0.0135016890586779;Kwark met smaak (groot);0.0085567863041229
Blauwe bessen (vers);0.008168132573087;Pizza (dunne bodem);0.0132081740791414;Meergranen brood (ovenvers);0.0085522807061958
Broccoli (vers);0.0081455686709514;Koffiebroodje;0.0122175610232058;Afbakbroodjes wit;0.0083805595839007
Verse pasta;0.0081004408666802;Croissant (vers);0.0118873566712273;Smeerkaas;0.0079889446500736
Vrije uitloop eieren;0.0078716434947128;Overige;0.0118506672987852;Karnemelk (vers);0.0072252955291106
Kattenvoer Singlepack;0.0076491628239682;IJskoffie;0.0113370160845964;Hamburger (vers);0.0069903265688144
Kipfilet (voorverpakt);0.0075688460523739;Noodlesoep;0.0111535692223861;Jonge kaas (plakken);0.0068336805952835
Magere kwark;0.0074940412154069;Multivruchtensap (vers);0.0108967436152917;Volkoren brood (dagvers);0.0066182923816786
Mozzarella;0.0074235238026122;Frisdrank met fruit (fles);0.010493160518429;Nat hondenvoer;0.0065203886482218
Spinazie (vers);0.0072227410923995;Ice tea koolzuurvrij (flessen);0.010493160518429;Kuipje filet americain (versafdeling);0.005874224007407
Hele prei (vers);0.0071753208791206;Frisse fruitdrank (pakken);0.0104197817735449;Jong belegen kaas (plakken);0.0058323307177615
Tomatenpuree (conserven);0.007039937466307;Melk chocolade;0.0103464030286608;Aardappel iets kruimig - met schil;0.0056392550471107
Rundergehakt;0.0067749202409833;Melk chocolade met noten;0.0102363349113346;Koffiemelk pak;0.005541351313654
Cherry tomaten (vers);0.0067240428364087;Cola regular flessen;0.0097960624420299;Beschuit;0.0054042860868145
Ongezouten roomboter;0.0067193293143999;Winegums;0.0096493049522616;Volle melk (vers);0.005337178940226
Maiswafels;0.0063630204022391;Koekjes met chocolade;0.0087245423263473;Chocolademelk (pakken);0.0052280593665922
Tortilla, wrap, burrito;0.0062953286958323;Pilsener - fles;0.0085486237789999;Verse mandarijnen;0.0051728344073878
Creme fraiche;0.0060696896744763;Slaatjes;0.0078882150750428;Vanille vla;0.0051497363798268
Aardbeien (vers);0.0057545686151789;Fruitsalade (mix);0.0077047682128325;Smeerbare halvarine;0.0051301556331355
Skyr - Ijslandse yoghurt;0.0057537950445779;Paprika chips;0.0077032771298601;Taart (vers);0.0050714133930614
Verse citroenen;0.0055055921210863;Appelflappen;0.0076021701226774;Wit brood (dagvers);0.0050605888787799
Verse mandarijnen;0.0055015389773233;Flessen water (koolzuurvrij);0.007411253233296;Volkoren brood (ovenvers);0.0050289381691623
Snoeptomaatjes;0.0054379004146795;Tortilla chips (met smaakje);0.0072875848453429;Magere yoghurt;0.0049478346415684
Groentesap (vers);0.0052799530997303;Chocoladesnoepjes;0.0072644957435278;Hagelslag;0.0048364444327651
Gele uien;0.0052573891975947;Sinas (fles);0.0072278063710857;Snelfilterkoffie (regular);0.0048364444327651
Volle melk (vers);0.0051993368034643;Candybars multipack;0.0070810488813175;Aardbeien (vers);0.0047770308952401
Water met smaak (koolzuurhoudend);0.0051220057847811;Chocolade broodjes (vers);0.0070443595088754;Koekjes met chocolade;0.0047621392314381
Gemengde sla;0.0049414945676963;Saucijzenbroodje;0.0070443595088754;Wokgroente (vers);0.0047444572822638
Pindakaas;0.004913355676514;Flesjes water (koolzuurvrij);0.0069709807639913;Halfvolle yoghurt;0.0046853334922923
Knackebrod;0.004884198158731;Meergranen brood (dagvers);0.0068976020191072;IJsbergsla gesneden;0.0045698944120993
Stukjes kip/rund (vegetarisch);0.0047835472527471;Snoepmix;0.0068609126466651;Krentenbollen;0.0044271627838274
Haverdrink;0.0046707277420691;Naturel chips;0.006589489067309;Luxe desserts (portieverpakking);0.0044252487522466
