Healthy weekly groceries;1;Convenience;2;Beer / Self-care;3;Appetisers;4;Sweet snacking;5;Lunch / Breakfast;6;High budget;7;Protein-rich;8;Sweet breakfast;9;Cat care;10;Savoury snacking;11;Healthy convenience;12;Easter / Water ;13;Mexican meal;14;Beer / Ready-to-eat;15;Energy / Soft drinks ;16;Fruits / Vegetables;17;Italian meal;18;Refreshments;19;Housekeeping;20;Fresh essentials;21;Treats / 1-person;22;Baking;23;Baby ;24;Typical Dutch;25;Dog care;26;Vegan / Vegetarian;27;Asian meal;28;Coffee / Tea ;29;Fresh buns;30
Bananen;0.1682650185233848;Bolletjes (dagvers);0.1181783500307206;Pilsener - blik;0.3466997672595844;Roomkaas (kruiden);0.0764820936922426;Koekjes met chocolade;0.0873769350947378;Yoghurtdranken (pakken);0.0607087677653088;Skyr - Ijslandse yoghurt;0.0685636376770374;Griekse yoghurt naturel;0.1068429045237402;Zelfbakbrood (verpakt);0.6178367011905825;Ice tea koolzuurvrij (pakken);0.1529077811641274;Overige (frikandelbroodje);0.1772759984132127;Fruitsalade (mix);0.0820737548983104;Volle melk (houdbaar);0.205263876831741;Kipfilet - stuk;0.0579422254380721;Pilsener - fles;0.109580451107938;Energy drinks;0.3792343033497847;Komkommer (vers);0.0916891930841897;Rundergehakt;0.1508774188493679;Kwark met smaak (groot);0.16206710217105;Vloeibaar wasmiddel (kleur);0.0743335184287249;Karnemelk (vers);0.0583087975624311;Appelflappen;0.1332007107340083;Volle melk (vers);0.1474342598988801;Verse koeken;0.4306975167588948;Halfvolle melk (vers);0.1860842282149611;Nat hondenvoer;0.1052124817744787;Stukjes kip/rund (vegetarisch);0.0697465044746015;Kroepoek;0.0892748515301285;Snelfilterkoffie (regular);0.0984759679239174;Verse broodjes (kaiser etc.);0.6591566432591519
Meergranen brood (ovenvers);0.0669198472102357;Chips met een vormpje;0.0546387063896147;Vaatwas tabletten;0.0506923941685032;Eiersalades (beleg);0.0483158835506235;Paprika chips;0.0726889563160776;Bruin brood (dagvers);0.0601829093978011;Luxe chips;0.0658210444489834;Magere kwark;0.0885648439532387;Croissant (vers);0.1327447554282153;Kattenvoer Singlepack;0.1408579831919544;Knakworst;0.1053776832672967;Maaltijdsalade;0.0750684026826543;Flessen water (koolzuurhoudend);0.0875933253317969;Mozzarella;0.042056852809908;Aziatisch tafelen;0.0860497004658069;Flesjes water (koolzuurvrij);0.087338809256314;Avocado;0.0597027161427107;Geraspte kaas;0.100200098093673;IJskoffie;0.1145966466152276;Toiletpapier - 4 & 5 laags;0.0698912762915501;Verse sinaasappels;0.0576925524835124;Slaatjes;0.0980758657801773;Ongezouten roomboter;0.1470443447783151;Vruchtenyoghurt (groot);0.0706122764004086;Aardappel iets kruimig - met schil;0.0328540703783068;Koffiemelk pak;0.083134889253332;Haverdrink;0.068101539746427;Wokgroente (vers);0.0826872331780036;Zwarte thee eenkops;0.0690254723453608;Donuts;0.2127293630631126
Verse mandarijnen;0.0603817539851873;Diverse smaken chips;0.0457413805057108;Deospray mannen;0.0420927915863464;Kipsalade (beleg);0.0389583423598553;Naturel chips;0.0531531933174901;Alledaagse koeken;0.0525792201652603;Notenmix (zakje);0.0579743135679866;Kipfilet (voorverpakt);0.0854639266895666;Chocolade broodjes (vers);0.0786635587722757;Koffiebroodje;0.1383649215425392;Saucijzenbroodje;0.1053776832672967;Jonge kaas (plakken);0.0609931954416341;Flessen water (koolzuurvrij);0.0762303985096754;Champignons (vers);0.0401685526001894;Blond bier;0.0611393074851156;Cola light & suikervrije blikjes;0.0680455446341575;Courgette (vers);0.059393375644562;Roerbakmix (vers);0.0704423081919952;Multivruchtensap (vers);0.1101462914068692;Keukenpapier;0.0672259310092452;Hele prei (vers);0.0539094622705198;Mousse - portieverpakking;0.0749913395086468;Verse slagroom;0.0455751940596355;Tomatensoep in zak;0.0397414086974758;Vanille vla;0.0319913029600346;Luxe desserts (portieverpakking);0.0714054681112077;Schnitzel (vegetarisch);0.0542838360297606;Kipfilet - blokjes;0.0717757942534588;Pinda's (zakje);0.0546412795735573;Meergranen brood (dagvers);0.0308418988502544
Volkoren brood (ovenvers);0.048020135059086;Pizza (dunne bodem);0.0410645810026331;Pilsener - krat;0.0413496984251813;Verse olijven;0.0357494205643627;Melk chocolade;0.0520261057896799;Smeerkaas;0.0523426560012517;Nespresso compatible (regular);0.0540229327081279;Maiswafels;0.0641057427142441;Muffin;0.0549006087264841;Frisdrank met fruit (fles);0.1188359386221208;Koffiepads (regular);0.0614703152392564;Mango stukjes;0.0578424558330949;Tonic;0.0548777459910053;Tortilla, wrap, burrito;0.0356652338418368;Tripel bier;0.0531441672755236;Candybars multipack;0.0542176494767605;Aardbeien (vers);0.040926181966177;Gehakt (half-om-half);0.0642843477198668;Ice tea koolzuurvrij (flessen);0.0998171040468698;Taart (vers);0.0630241430976435;Witlof;0.0372793113444901;Quiches;0.072530523995573;Pure chocolade;0.033585426373415;Vanaf 12 mnd (baby maaltijden);0.0367608030451651;Groentesap (vers);0.0314168177505778;Hondensnacks;0.0474954804788485;Plantaardige yoghurt met smaak;0.0509776283286488;Cola light & suikervrije flessen;0.04093042566285;Koffiebonen (krachtig);0.0492599414337372;Zwaar bier;0.0138663018848769
Hamburger (vers);0.0424336341982517;Volkoren brood (dagvers);0.0345976089874247;Diverse witte wijn;0.0330405783419708;Wit brood (ovenvers);0.0332990345499779;Winegums;0.048520800789666;Wit brood (dagvers);0.0486536868051565;Toiletpapier - vochtig;0.0474245110611031;Snoeptomaatjes;0.0547854042345136;Focaccia;0.0458870759504942;Kattensnacks;0.0635730720600856;Groentesoep (zelf bereiden);0.0381035785664171;Yoghurtdranken (drinkpakjes);0.0515892173646522;Tompoucen (vers);0.0501287102802452;Creme fraiche;0.0343869100482226;Chocolademelk (pakken);0.0468629364727783;Sportdrank flesjes;0.046887150232337;Vrije uitloop eieren;0.0385764370065934;Pastasaus in pot;0.0550509620329275;Kopsoep;0.0801063937504503;Afwasmiddel;0.0577491477832723;Scharreleieren;0.031686904371737;Afbakbroodjes wit;0.0508649704861396;Gezouten roomboter;0.0321290940810694;Gezichtsdoekjes baby;0.0357672678277282;Reepjes spek (voorverpakt);0.0304028752911289;Cake (vers);0.0409101084149613;Burgers (vegetarisch);0.0467169982801576;Satésaus;0.0377313766872882;Koffiekoekjes;0.0433901745264569;Rosbief;0.008682348519817
Pindakaas;0.0391055060258398;Frisse fruitdrank (pakken);0.032395391679855;Sangiovese (Italië);0.0271566397331267;Toast;0.0328916994005296;Melk chocolade met noten;0.0483034621349954;Noodlesoep;0.0406568987931812;Cashewnoten (zakje);0.0440876807158285;Huttenkase;0.0434191377958178;Candybars multipack;0.0190941297544276;Roomijs premium;0.0486147021635948;Berliner bol;0.0373212628238342;Notenrepen;0.0504167351518192;Flesjes water (koolzuurhoudend);0.0432689920313695;Cherry tomaten (vers);0.0329670576530478;Traditionele Italiaanse gerechten;0.0456193294312016;Cola light & suikervrije flessen;0.0340155055829291;Blauwe bessen (vers);0.036850684411807;Italiaanse mix;0.0481398768313158;Smoothie-fruit (vers);0.0574837547746287;Toiletblokken - vast;0.0453108697991829;Beschuit;0.0295666530341795;Roomkaas (naturel);0.038985255224438;Tarwebloem;0.0312860308038968;Water met smaak (koolzuurhoudend);0.0327458616925016;Krieltjes - geschild;0.0256404399521532;Magere melk (vers);0.0372825010492146;Gehakt (vegetarisch);0.0342152663460309;Kipfilet - stuk;0.0372916163150181;Tempranillo (Spanje);0.0383825691104509;Cola regular flesjes;0.0083662200344826
Verse rode druiven;0.0388288219719601;Cola regular flessen;0.0304562309102862;Tandpasta sterke tanden;0.0267040290709079;Kaasblokjes;0.0325791485764568;Chocoladesnoepjes;0.0365289678948816;Smeerbare halvarine;0.0350398272493864;Nespresso compatible (krachtig);0.0437772040910692;Water met smaak (koolzuurhoudend);0.0366180486007965;Geitenmelk;0.0090135327759899;Vitamine water;0.0477836816137898;Maandverband (dag);0.0362235786231332;Kleine salades;0.0487566448598879;Melk paaseitjes;0.0403836262386117;Tomatenpuree (conserven);0.0303999541661264;Bier 0.0;0.0418569105090407;Sinas (blik);0.0296051248446655;Rode paprika;0.0346893645312429;Gezeefde tomaten (conserven);0.0384531942981852;Kaas broodjes;0.0392255547179489;Bleekmiddel;0.042645524516878;Knackebrod;0.0293608416133777;Frisse fruitdrank (drinkpakjes);0.0287385095076798;Kristalsuiker;0.0210744195099161;Chocolade paashaas;0.0283157536969515;Rookworst;0.0226899239309728;Witte wijn (klein);0.0363346408530482;Sojadrink (houdbaar);0.0325703016178563;Sinaasappelsap, jus d'orange (vers);0.0325919949862905;Rooibosthee;0.0302182834005279;Cake (vers);0.0062630151156678
Verse witte druiven;0.0366087403701304;Friet;0.0276044429011548;Snelfilterkoffie (krachtig);0.0262514184086891;Droge worst - salami, fuet;0.0324994732403297;Snoepmix;0.0344995807896104;Komkommer (vers);0.030866277266349;Verse Pizza;0.0428457742167911;Tonijn in water;0.034780775302409;Ice tea koolzuurvrij (flessen);0.0069042699074495;Kattenvoer Multipack;0.0444889874211663;Ananas (conserven);0.0257955787164736;Pannenkoeken;0.0473595183815945;Gevulde koeken;0.0388645724520823;Geraspte kaas;0.029483823639488;Rauwkost groente;0.0401858934525273;IJsblokjes;0.0266613207203485;Verse pasta;0.0332280457956128;Kookroom;0.0277840730746299;Feeststol;0.0352049416269106;Cabernet Sauvignon (Chili);0.0399801792345731;Magere yoghurt;0.0257043476175607;Water (in tray);0.0279737304409088;Luxe chocolade;0.0178330375582211;Fruitsnacks;0.018877169131301;Hagelslag;0.0226198031703616;Halfvolle melk (houdbaar);0.0311046789156924;Kokosmelk;0.0309527361640856;Indonesische mix;0.0261002888194395;Plakken spek (voorverpakt);0.0273518160677111;Melkbroodjes;0.0060452242977365
Halfvolle yoghurt;0.0337567286058921;Scharreleieren;0.0236022606588025;Pinot Grigio (Italië);0.0248790618069023;Borrelhapjes met vlees;0.0318494837755231;Zoutjes-crackers;0.0328391731580249;Fruitbiscuit & melkbiscuit;0.0280127243559221;Kruidenthee eenkops;0.0403619612187162;Havermout (regular);0.0327348473434438;Yoghurt tussendoortjes;0.0064970346770753;Wasverzachters - geconcentreerd;0.0403080366706227;Worstenbroodje;0.0219536840140201;Stoommaaltijden;0.0398643952363221;Gevulde paaseitjes;0.0379922856860806;Verse roma tomaten;0.0266667183472785;Pure chocolade met vulling, praliné;0.0286884442814773;Ice tea koolzuurvrij (blikjes);0.0170080839078085;Spinazie (vers);0.0312755478831156;Groentemix (vers);0.0269506324020935;Yoghurt tussendoortjes;0.0257318224551123;Slagroom spuitbussen;0.034945638145775;Volle kwark;0.0225470392515067;Spekken;0.0218960072439465;Bladerdeeg (diepvries);0.0169373178047029;Candybars multipack;0.0141322954089554;Schnitzel;0.0220186244063878;Koffiepads (krachtig);0.0284358058849942;Hummus met smaakje;0.0279995742470672;Kropsla (per krop);0.0246173178637896;Diverse rode wijn;0.0264149065126648;Champignons (conserven);0.0043966323049609
Belegen kaas (plakken);0.0313794941970265;Tortilla chips (met smaakje);0.0228210945039084;Diverse (zakje);0.0233026553373733;Aperitiefhapjes met vlees;0.0311994943107165;Cola regular blikjes;0.0314397166567243;Limonade siroop;0.0256780413430618;Sauvignon Blanc (Chili);0.0372571949711227;Komkommer (snoepgroente);0.0322801966858959;Wit brood (dagvers);0.0033621993947393;Droog kattenvoer;0.0295012295180789;Roomijs hoorntjes;0.0216943025135845;Cola cafeïnevrij flessen;0.0359561211935455;Mix paaseitjes;0.0360728241642776;Gele uien;0.0264651208591236;Wereld maaltijden;0.0286884442814773;Yoghurt tussendoortjes;0.0161255850738062;Broccoli (vers);0.0278124771662013;Spaghetti (houdbaar);0.0266361640475726;Vissalades (beleg);0.0244346080493447;Chardonnay (Chili);0.0340062642683888;Augurken;0.0220843214279332;Wasverzachters - geurbuiltjes;0.0218960072439465;Verse blauwe druiven;0.0164455798854022;Oosterse soep;0.0134127254353981;Schnitzel (kip);0.0218843645014708;Pudding - portieverpakking;0.0224326913092732;Groentespread;0.0270030392159116;Noodles;0.0213547817613596;Borrelnoten (zakje);0.0258472440031965;Karnemelk (vers);0.0036811288204849
